datetime,symbol,open,high,low,close,volume
2023-01-14 01:28:00,NASDAQ:TSLA,120.84,120.92,120.83,120.865,4521.0
2023-01-14 01:29:00,NASDAQ:TSLA,120.86,120.92,120.85,120.87,3801.0
2023-01-14 01:30:00,NASDAQ:TSLA,120.86,120.86,120.8,120.84,3350.0
2023-01-14 01:31:00,NASDAQ:TSLA,120.84,120.91,120.81,120.88,3694.0
2023-01-14 01:32:00,NASDAQ:TSLA,120.9,120.96,120.86,120.875,9457.0
2023-01-14 01:33:00,NASDAQ:TSLA,120.9,121.06,120.9,121.0,15188.0
2023-01-14 01:34:00,NASDAQ:TSLA,121.01,121.01,120.73,120.74,3938.0
2023-01-14 01:35:00,NASDAQ:TSLA,120.71,120.82,120.66,120.68,6664.0
2023-01-14 01:36:00,NASDAQ:TSLA,120.65,120.73,120.52,120.56,9882.0
2023-01-14 01:37:00,NASDAQ:TSLA,120.54,120.64,120.52,120.61,3949.0
2023-01-14 01:38:00,NASDAQ:TSLA,120.63,120.65,120.605,120.64,7260.0
2023-01-14 01:39:00,NASDAQ:TSLA,120.66,120.73,120.59,120.59,5559.0
2023-01-14 01:40:00,NASDAQ:TSLA,120.605,120.62,120.54,120.61,3164.0
2023-01-14 01:41:00,NASDAQ:TSLA,120.61,120.64,120.51,120.63,6287.0
2023-01-14 01:42:00,NASDAQ:TSLA,120.61,120.73,120.61,120.73,2467.0
2023-01-14 01:43:00,NASDAQ:TSLA,120.71,120.77,120.7,120.71,1468.0
2023-01-14 01:44:00,NASDAQ:TSLA,120.69,120.77,120.69,120.7,1406.0
2023-01-14 01:45:00,NASDAQ:TSLA,120.72,120.81,120.61,120.62,4328.0
2023-01-14 01:46:00,NASDAQ:TSLA,120.67,120.88,120.66,120.86,9300.0
2023-01-14 01:47:00,NASDAQ:TSLA,120.85,120.96,120.85,120.95,7404.0
2023-01-14 01:48:00,NASDAQ:TSLA,120.95,121.14,120.945,121.12,10440.0
2023-01-14 01:49:00,NASDAQ:TSLA,121.12,121.2,121.05,121.19,7218.0
2023-01-14 01:50:00,NASDAQ:TSLA,121.16,121.16,120.99,121.02,3869.0
2023-01-14 01:51:00,NASDAQ:TSLA,121.0,121.12,120.93,121.07,5357.0
2023-01-14 01:52:00,NASDAQ:TSLA,121.08,121.12,120.94,120.99,5595.0
2023-01-14 01:53:00,NASDAQ:TSLA,120.97,121.11,120.97,121.1,5815.0
2023-01-14 01:54:00,NASDAQ:TSLA,121.09,121.47,121.05,121.4,29242.0
2023-01-14 01:55:00,NASDAQ:TSLA,121.47,121.83,121.45,121.605,26750.0
2023-01-14 01:56:00,NASDAQ:TSLA,121.62,121.83,121.52,121.67,14195.0
2023-01-14 01:57:00,NASDAQ:TSLA,121.68,121.77,121.57,121.665,13896.0
2023-01-14 01:58:00,NASDAQ:TSLA,121.63,121.69,121.59,121.69,4730.0
2023-01-14 01:59:00,NASDAQ:TSLA,121.7,121.76,121.57,121.62,7000.0
2023-01-14 02:00:00,NASDAQ:TSLA,121.62,121.71,121.45,121.53,6531.0
2023-01-14 02:01:00,NASDAQ:TSLA,121.52,121.62,121.47,121.55,5774.0
2023-01-14 02:02:00,NASDAQ:TSLA,121.54,121.62,121.5,121.59,4274.0
2023-01-14 02:03:00,NASDAQ:TSLA,121.59,121.73,121.58,121.73,7011.0
2023-01-14 02:04:00,NASDAQ:TSLA,121.72,121.73,121.48,121.58,8000.0
2023-01-14 02:05:00,NASDAQ:TSLA,121.58,121.82,121.54,121.72,14855.0
2023-01-14 02:06:00,NASDAQ:TSLA,121.74,121.93,121.68,121.84,11082.0
2023-01-14 02:07:00,NASDAQ:TSLA,121.83,122.06,121.83,122.04,18790.0
2023-01-14 02:08:00,NASDAQ:TSLA,122.05,122.175,122.03,122.1,7737.0
2023-01-14 02:09:00,NASDAQ:TSLA,122.12,122.26,122.1,122.23,6597.0
2023-01-14 02:10:00,NASDAQ:TSLA,122.21,122.22,121.96,122.08,8279.0
2023-01-14 02:11:00,NASDAQ:TSLA,122.08,122.11,121.98,122.01,5699.0
2023-01-14 02:12:00,NASDAQ:TSLA,122.0,122.11,122.0,122.02,10550.0
